Handle,Title,Option1Name,Option1Value,Option2Name,size,Category,SUB,Vendor,SKU,Cost,Retail,Location,Onhand,ExtCost,ExtRetail
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Chocolate Brown,Size,M,Men's Apparel,T-shirts,Dickies,50023377.0,$11.40 ,$44.99 ,Redlands,1,$11.40 ,$44.99 
0223-dickies-westover-stripe-pocket-tee,Westover Stripe Pocket T-Shirt,Color,Dark Ivy,Size,M,Men's Apparel,T-shirts,Dickies,50023382.0,$11.40 ,$44.99 ,Redlands,2,$22.80 ,$89.98 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,M,Men's Apparel,T-shirts,Dickies,50023402.0,$10.62 ,$32.99 ,Rancho,1,$10.62 ,$32.99 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,M,Men's Apparel,T-shirts,Dickies,50023402.0,$10.62 ,$32.99 ,Redlands,2,$21.24 ,$65.98 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,Dickies,50023407.0,$10.62 ,$32.99 ,Temecula,1,$10.62 ,$32.99 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,XL,Men's Apparel,T-shirts,Dickies,50023404.0,$10.62 ,$32.99 ,Redlands,3,$31.86 ,$98.97 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,XL,Men's Apparel,T-shirts,Dickies,50023404.0,$10.62 ,$32.99 ,Temecula,1,$10.62 ,$32.99 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,L,Men's Apparel,T-shirts,Dickies,50023403.0,$10.62 ,$32.99 ,Rancho,3,$31.86 ,$98.97 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,L,Men's Apparel,T-shirts,Dickies,50023403.0,$10.62 ,$32.99 ,Redlands,2,$21.24 ,$65.98 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,L,Men's Apparel,T-shirts,Dickies,50023403.0,$10.62 ,$32.99 ,Temecula,1,$10.62 ,$32.99 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Lincoln Green,Size,M,Men's Apparel,T-shirts,Dickies,50023402.0,$10.62 ,$32.99 ,Temecula,2,$21.24 ,$65.98 
0223-dickies-mount-vista-tee,Mount Vista T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,Dickies,50023407.0,$10.62 ,$32.99 ,Rancho,2,$21.24 ,$65.98 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,XS,Women's Apparel,T-shirts,Volcom,50023428.0,$16.00 ,$32.00 ,Rancho,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,L,Women's Apparel,T-shirts,Volcom,50023431.0,$16.00 ,$32.00 ,Temecula,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,L,Women's Apparel,T-shirts,Volcom,50023431.0,$16.00 ,$32.00 ,Rancho,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,M,Women's Apparel,T-shirts,Volcom,50023430.0,$16.00 ,$32.00 ,Rancho,2,$32.00 ,$64.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,M,Women's Apparel,T-shirts,Volcom,50023430.0,$16.00 ,$32.00 ,Temecula,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,M,Women's Apparel,T-shirts,Volcom,50023430.0,$16.00 ,$32.00 ,Redlands,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,S,Women's Apparel,T-shirts,Volcom,50023429.0,$16.00 ,$32.00 ,Temecula,1,$16.00 ,$32.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,XS,Women's Apparel,T-shirts,Volcom,50023428.0,$16.00 ,$32.00 ,Temecula,2,$32.00 ,$64.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,L,Women's Apparel,T-shirts,Volcom,50023431.0,$16.00 ,$32.00 ,Redlands,2,$32.00 ,$64.00 
0223-volcom-have-a-clue-t-shirt,Have A Clue T-Shirt,Color,Black,Size,XS,Women's Apparel,T-shirts,Volcom,50023428.0,$16.00 ,$32.00 ,Redlands,1,$16.00 ,$32.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,27,Women's Apparel,Pants,Volcom,50023436.0,$32.50 ,$65.00 ,Rancho,1,$32.50 ,$65.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,24,Women's Apparel,Pants,Volcom,50023433.0,$32.50 ,$65.00 ,Temecula,1,$32.50 ,$65.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,24,Women's Apparel,Pants,Volcom,50023433.0,$32.50 ,$65.00 ,Redlands,2,$65.00 ,$130.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,24,Women's Apparel,Pants,Volcom,50023433.0,$32.50 ,$65.00 ,Rancho,3,$97.50 ,$195.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,26,Women's Apparel,Pants,Volcom,50023435.0,$32.50 ,$65.00 ,Temecula,2,$65.00 ,$130.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,25,Women's Apparel,Pants,Volcom,50023434.0,$32.50 ,$65.00 ,Rancho,2,$65.00 ,$130.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,25,Women's Apparel,Pants,Volcom,50023434.0,$32.50 ,$65.00 ,Redlands,3,$97.50 ,$195.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,25,Women's Apparel,Pants,Volcom,50023434.0,$32.50 ,$65.00 ,Temecula,3,$97.50 ,$195.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,26,Women's Apparel,Pants,Volcom,50023435.0,$32.50 ,$65.00 ,Rancho,1,$32.50 ,$65.00 
0223-volcom-thisthatthem-skate-pant,This That Them Skate Pant,Color,White,Size,26,Women's Apparel,Pants,Volcom,50023435.0,$32.50 ,$65.00 ,Redlands,1,$32.50 ,$65.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,S,Men's Apparel,Woven SS,Obey,50023496.0,$36.00 ,$72.00 ,Temecula,1,$36.00 ,$72.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,S,Men's Apparel,Woven SS,Obey,50023496.0,$36.00 ,$72.00 ,Redlands,1,$36.00 ,$72.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,M,Men's Apparel,Woven SS,Obey,50023497.0,$36.00 ,$72.00 ,Rancho,2,$72.00 ,$144.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,XL,Men's Apparel,Woven SS,Obey,50023499.0,$36.00 ,$72.00 ,Rancho,1,$36.00 ,$72.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,S,Men's Apparel,Woven SS,Obey,50023496.0,$36.00 ,$72.00 ,Rancho,2,$72.00 ,$144.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,M,Men's Apparel,Woven SS,Obey,50023497.0,$36.00 ,$72.00 ,Redlands,1,$36.00 ,$72.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,M,Men's Apparel,Woven SS,Obey,50023497.0,$36.00 ,$72.00 ,Temecula,1,$36.00 ,$72.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,L,Men's Apparel,Woven SS,Obey,50023498.0,$36.00 ,$72.00 ,Redlands,2,$72.00 ,$144.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,L,Men's Apparel,Woven SS,Obey,50023498.0,$36.00 ,$72.00 ,Temecula,2,$72.00 ,$144.00 
0223-obey-lankershim-woven,Lankershim Woven,Color,Wild Rose Multi,Size,L,Men's Apparel,Woven SS,Obey,50023498.0,$36.00 ,$72.00 ,Rancho,3,$108.00 ,$216.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,S,Men's Apparel,Woven SS,Obey,50023501.0,$36.00 ,$72.00 ,Temecula,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,M,Men's Apparel,Woven SS,Obey,50023502.0,$36.00 ,$72.00 ,Redlands,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,XL,Men's Apparel,Woven SS,Obey,50023504.0,$36.00 ,$72.00 ,Redlands,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,L,Men's Apparel,Woven SS,Obey,50023503.0,$36.00 ,$72.00 ,Rancho,3,$108.00 ,$216.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,L,Men's Apparel,Woven SS,Obey,50023503.0,$36.00 ,$72.00 ,Redlands,2,$72.00 ,$144.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,L,Men's Apparel,Woven SS,Obey,50023503.0,$36.00 ,$72.00 ,Temecula,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,S,Men's Apparel,Woven SS,Obey,50023501.0,$36.00 ,$72.00 ,Redlands,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,M,Men's Apparel,Woven SS,Obey,50023502.0,$36.00 ,$72.00 ,Temecula,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,S,Men's Apparel,Woven SS,Obey,50023501.0,$36.00 ,$72.00 ,Rancho,1,$36.00 ,$72.00 
0223-obey-loveless-woven,Loveless Woven,Color,White Multi,Size,M,Men's Apparel,Woven SS,Obey,50023502.0,$36.00 ,$72.00 ,Rancho,2,$72.00 ,$144.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,XL,Men's Apparel,T-shirts,State Footwear,50023519.0,$13.00 ,$26.00 ,Rancho,2,$26.00 ,$52.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,S,Men's Apparel,T-shirts,State Footwear,50023516.0,$13.00 ,$26.00 ,Temecula,1,$13.00 ,$26.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023517.0,$13.00 ,$26.00 ,Redlands,2,$26.00 ,$52.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023517.0,$13.00 ,$26.00 ,Temecula,2,$26.00 ,$52.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023517.0,$13.00 ,$26.00 ,Rancho,3,$39.00 ,$78.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023518.0,$13.00 ,$26.00 ,Rancho,5,$65.00 ,$130.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023518.0,$13.00 ,$26.00 ,Temecula,7,$91.00 ,$182.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023518.0,$13.00 ,$26.00 ,Redlands,8,$104.00 ,$208.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,XL,Men's Apparel,T-shirts,State Footwear,50023519.0,$13.00 ,$26.00 ,Temecula,1,$13.00 ,$26.00 
0223-state-footwear-free-liberated-marble-t-shirt,Free & Liberated Marble T-Shirt,Color,Black,Size,XL,Men's Apparel,T-shirts,State Footwear,50023519.0,$13.00 ,$26.00 ,Redlands,1,$13.00 ,$26.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,S,Men's Apparel,T-shirts,State Footwear,50023526.0,$15.00 ,$30.00 ,Temecula,1,$15.00 ,$30.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,S,Men's Apparel,T-shirts,State Footwear,50023526.0,$15.00 ,$30.00 ,Rancho,1,$15.00 ,$30.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,XL,Men's Apparel,T-shirts,State Footwear,50023529.0,$15.00 ,$30.00 ,Redlands,3,$45.00 ,$90.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,XL,Men's Apparel,T-shirts,State Footwear,50023529.0,$15.00 ,$30.00 ,Rancho,3,$45.00 ,$90.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023528.0,$15.00 ,$30.00 ,Temecula,7,$105.00 ,$210.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023528.0,$15.00 ,$30.00 ,Redlands,7,$105.00 ,$210.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,L,Men's Apparel,T-shirts,State Footwear,50023528.0,$15.00 ,$30.00 ,Rancho,7,$105.00 ,$210.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023527.0,$15.00 ,$30.00 ,Redlands,2,$30.00 ,$60.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023527.0,$15.00 ,$30.00 ,Rancho,2,$30.00 ,$60.00 
0223-state-footwear-pocket-marble-t-shirt,Pocket Marble T-Shirt,Color,Black,Size,M,Men's Apparel,T-shirts,State Footwear,50023527.0,$15.00 ,$30.00 ,Temecula,1,$15.00 ,$30.00 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,M,Men's Apparel,T-shirts,Active,50023603.0,$9.25 ,$29.99 ,Redlands,2,$18.50 ,$59.98 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,S,Men's Apparel,T-shirts,Active,50023602.0,$9.25 ,$29.99 ,Rancho,3,$27.75 ,$89.97 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,S,Men's Apparel,T-shirts,Active,50023602.0,$9.25 ,$29.99 ,Temecula,4,$37.00 ,$119.96 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,S,Men's Apparel,T-shirts,Active,50023602.0,$9.25 ,$29.99 ,Redlands,3,$27.75 ,$89.97 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,XXL,Men's Apparel,T-shirts,Active,50023606.0,$9.25 ,$29.99 ,Temecula,4,$37.00 ,$119.96 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,XXL,Men's Apparel,T-shirts,Active,50023606.0,$9.25 ,$29.99 ,Redlands,1,$9.25 ,$29.99 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,XL,Men's Apparel,T-shirts,Active,50023605.0,$9.25 ,$29.99 ,Redlands,3,$27.75 ,$89.97 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,XL,Men's Apparel,T-shirts,Active,50023605.0,$9.25 ,$29.99 ,Rancho,3,$27.75 ,$89.97 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,M,Men's Apparel,T-shirts,Active,50023603.0,$9.25 ,$29.99 ,Temecula,4,$37.00 ,$119.96 
active-truckn-rolln-premium-short-sleeve-tee,Active Truck'n & Roll'n Short Sleeve Premium T-Shirt,Color,Asphalt Blend,Size,M,Men's Apparel,T-shirts,Active,50023603.0,$9.25 ,$29.99 ,Rancho,3,$27.75 ,$89.97 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,M,Youth Apparel,T-shirts,Active,50023633.0,$9.25 ,$22.99 ,Temecula,4,$37.00 ,$91.96 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,M,Youth Apparel,T-shirts,Active,50023633.0,$9.25 ,$22.99 ,Rancho,6,$55.50 ,$137.94 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,S,Youth Apparel,T-shirts,Active,50023632.0,$9.25 ,$22.99 ,Temecula,3,$27.75 ,$68.97 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,L,Youth Apparel,T-shirts,Active,50023634.0,$9.25 ,$22.99 ,Redlands,5,$46.25 ,$114.95 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,L,Youth Apparel,T-shirts,Active,50023634.0,$9.25 ,$22.99 ,Temecula,5,$46.25 ,$114.95 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,XL,Youth Apparel,T-shirts,Active,50023635.0,$9.25 ,$22.99 ,Rancho,2,$18.50 ,$45.98 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,S,Youth Apparel,T-shirts,Active,50023632.0,$9.25 ,$22.99 ,Redlands,3,$27.75 ,$68.97 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,S,Youth Apparel,T-shirts,Active,50023632.0,$9.25 ,$22.99 ,Rancho,2,$18.50 ,$45.98 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,M,Youth Apparel,T-shirts,Active,50023633.0,$9.25 ,$22.99 ,Redlands,4,$37.00 ,$91.96 
0223-active-y-active-ride-shop-block-tee,Y Active Ride Shop Block Tee,Color,Vintage White,Size,L,Youth Apparel,T-shirts,Active,50023634.0,$9.25 ,$22.99 ,Rancho,3,$27.75 ,$68.97 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,XL,Youth Apparel,T-shirts,Active,50023640.0,$9.25 ,$22.99 ,Redlands,3,$27.75 ,$68.97 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,S,Youth Apparel,T-shirts,Active,50023637.0,$9.25 ,$22.99 ,Rancho,2,$18.50 ,$45.98 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,S,Youth Apparel,T-shirts,Active,50023637.0,$9.25 ,$22.99 ,Redlands,3,$27.75 ,$68.97 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,M,Youth Apparel,T-shirts,Active,50023638.0,$9.25 ,$22.99 ,Rancho,4,$37.00 ,$91.96 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,XL,Youth Apparel,T-shirts,Active,50023640.0,$9.25 ,$22.99 ,Rancho,3,$27.75 ,$68.97 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,M,Youth Apparel,T-shirts,Active,50023638.0,$9.25 ,$22.99 ,Temecula,4,$37.00 ,$91.96 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,M,Youth Apparel,T-shirts,Active,50023638.0,$9.25 ,$22.99 ,Redlands,5,$46.25 ,$114.95 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,L,Youth Apparel,T-shirts,Active,50023639.0,$9.25 ,$22.99 ,Rancho,2,$18.50 ,$45.98 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,L,Youth Apparel,T-shirts,Active,50023639.0,$9.25 ,$22.99 ,Redlands,4,$37.00 ,$91.96 
0223-active-y-active-slime-tee,Y Active Slime Tee,Color,Vintage Black,Size,L,Youth Apparel,T-shirts,Active,50023639.0,$9.25 ,$22.99 ,Temecula,4,$37.00 ,$91.96 
0223-active-y-active-diamond-tee,Y Active Diamond Tee,Color,Toast,Size,S,Youth Apparel,T-shirts,Active,50023642.0,$9.25 ,$22.99 ,Temecula,2,$18.50 ,$45.98 
